variable;date;value
Indice de la production industrielle (secteurs manufacturier et extractif);2022-05-01;99,1
Indice de la production industrielle (secteurs manufacturier et extractif);2022-06-01;99,4
Indice de la production industrielle (secteurs manufacturier et extractif);2022-07-01;99,4
Indice de la production industrielle (secteurs manufacturier et extractif);2022-08-01;98,2
Indice de la production industrielle (secteurs manufacturier et extractif);2022-09-01;100,7
Indice de la production industrielle (secteurs manufacturier et extractif);2022-10-01;100,2
Indice de la production industrielle (secteurs manufacturier et extractif);2022-11-01;101,0
Indice de la production industrielle (secteurs manufacturier et extractif);2022-12-01;98,5
Indice de la production industrielle (secteurs manufacturier et extractif);2023-01-01;100,2
Indice de la production industrielle (secteurs manufacturier et extractif);2023-02-01;102,6
Indice de la production industrielle (secteurs manufacturier et extractif);2023-03-01;100,0
Indice de la production industrielle (secteurs manufacturier et extractif);2023-04-01;99,1
Indice de la production industrielle (secteurs manufacturier et extractif);2023-05-01;101,4
Indice de la production industrielle (secteurs manufacturier et extractif);2023-06-01;98,9
Indice de la production industrielle (secteurs manufacturier et extractif);2023-07-01;97,9
Indice de la production industrielle (secteurs manufacturier et extractif);2023-08-01;97,8
Indice de la production industrielle (secteurs manufacturier et extractif);2023-09-01;97,3
Indice de la production industrielle (secteurs manufacturier et extractif);2023-10-01;96,5
Indice de la production industrielle (secteurs manufacturier et extractif);2023-11-01;96,2
Indice de la production industrielle (secteurs manufacturier et extractif);2023-12-01;94,1
Indice de la production industrielle (secteurs manufacturier et extractif);2024-01-01;95,1
Indice de la production industrielle (secteurs manufacturier et extractif);2024-02-01;96,5
Indice de la production industrielle (secteurs manufacturier et extractif);2024-03-01;95,2
Indice de la production industrielle (secteurs manufacturier et extractif);2024-04-01;95,5
Indice de la production industrielle (secteurs manufacturier et extractif);2024-05-01;93,1
Indice de la production industrielle (secteurs manufacturier et extractif);2024-06-01;94,8
Indice de la production industrielle (secteurs manufacturier et extractif);2024-07-01;92,6
Indice de la production industrielle (secteurs manufacturier et extractif);2024-08-01;94,2
Indice de la production industrielle (secteurs manufacturier et extractif);2024-09-01;92,5
Indice de la production industrielle (secteurs manufacturier et extractif);2024-10-01;92,6
Indice de la production industrielle (secteurs manufacturier et extractif);2024-11-01;93,3
Indice de la production industrielle (secteurs manufacturier et extractif);2024-12-01;91,4
Indice de la production industrielle (secteurs manufacturier et extractif);2025-01-01;92,5
Indice de la production industrielle (secteurs manufacturier et extractif);2025-02-01;92,3
Indice de la production industrielle (secteurs manufacturier et extractif);2025-03-01;94,9
Indice de la production industrielle (secteurs manufacturier et extractif);2025-04-01;93,0
Indice de production des branches industrielles à forte intensité énergétique;2015-01-01;100,0
Indice de production des branches industrielles à forte intensité énergétique;2015-02-01;100,4
Indice de production des branches industrielles à forte intensité énergétique;2015-03-01;100,6
Indice de production des branches industrielles à forte intensité énergétique;2015-04-01;101,2
Indice de production des branches industrielles à forte intensité énergétique;2015-05-01;100,2
Indice de production des branches industrielles à forte intensité énergétique;2015-06-01;101,7
Indice de production des branches industrielles à forte intensité énergétique;2015-07-01;101,0
Indice de production des branches industrielles à forte intensité énergétique;2015-08-01;101,2
Indice de production des branches industrielles à forte intensité énergétique;2015-09-01;101,1
Indice de production des branches industrielles à forte intensité énergétique;2015-10-01;99,7
Indice de production des branches industrielles à forte intensité énergétique;2015-11-01;100,5
Indice de production des branches industrielles à forte intensité énergétique;2015-12-01;100,2
Indice de production des branches industrielles à forte intensité énergétique;2016-01-01;101,1
Indice de production des branches industrielles à forte intensité énergétique;2016-02-01;102,4
Indice de production des branches industrielles à forte intensité énergétique;2016-03-01;101,1
Indice de production des branches industrielles à forte intensité énergétique;2016-04-01;99,9
Indice de production des branches industrielles à forte intensité énergétique;2016-05-01;101,0
Indice de production des branches industrielles à forte intensité énergétique;2016-06-01;100,1
Indice de production des branches industrielles à forte intensité énergétique;2016-07-01;99,6
Indice de production des branches industrielles à forte intensité énergétique;2016-08-01;101,3
Indice de production des branches industrielles à forte intensité énergétique;2016-09-01;101,6
Indice de production des branches industrielles à forte intensité énergétique;2016-10-01;100,5
Indice de production des branches industrielles à forte intensité énergétique;2016-11-01;100,0
Indice de production des branches industrielles à forte intensité énergétique;2016-12-01;100,7
Indice de production des branches industrielles à forte intensité énergétique;2017-01-01;99,5
Indice de production des branches industrielles à forte intensité énergétique;2017-02-01;100,8
Indice de production des branches industrielles à forte intensité énergétique;2017-03-01;101,0
Indice de production des branches industrielles à forte intensité énergétique;2017-04-01;102,6
Indice de production des branches industrielles à forte intensité énergétique;2017-05-01;100,9
Indice de production des branches industrielles à forte intensité énergétique;2017-06-01;101,8
Indice de production des branches industrielles à forte intensité énergétique;2017-07-01;103,2
Indice de production des branches industrielles à forte intensité énergétique;2017-08-01;104,4
Indice de production des branches industrielles à forte intensité énergétique;2017-09-01;104,7
